,City,Country,Lat,Lon,Temp,Cloudiness,Humidity,Wind Speed
0,Mataura,NZ,-46.19,168.86,11.67,100,77,0.45
1,Fare,PF,-16.7,-151.02,28.6,98,72,3.89
2,Punta Arenas,CL,-53.15,-70.92,9.0,40,66,9.3
3,Ulaangom,MN,49.98,92.07,-3.2,40,76,1.16
4,Airai,TL,-8.93,125.41,15.95,25,74,0.43
5,Norman Wells,CA,65.28,-126.83,-6.0,75,92,1.5
6,Yellowknife,CA,62.46,-114.35,-12.78,20,71,3.1
7,Rikitea,PF,-23.12,-134.97,24.79,97,74,2.13
8,Paamiut,GL,61.99,-49.67,1.64,88,88,1.58
9,Phan Thiet,VN,10.93,108.1,26.45,34,81,3.22
10,Hilo,US,19.73,-155.09,19.0,1,82,2.1
11,Castro,BR,-24.79,-50.01,20.63,75,45,1.19
12,Saint-Philippe,RE,-21.36,55.77,26.0,82,69,6.2
13,Ziro,IN,27.63,93.83,11.54,26,46,1.47
14,Tremedal,BR,-14.98,-41.41,26.35,59,69,2.05
15,Cape Town,ZA,-33.93,18.42,18.33,40,88,8.2
16,Ushuaia,AR,-54.8,-68.3,9.0,40,49,11.3
17,Dongsheng,CN,39.82,109.98,5.28,0,30,2.72
18,Boone,US,39.03,-92.33,13.33,90,93,2.1
19,Khatanga,RU,71.97,102.5,-13.85,80,94,5.62
20,Bumba,CD,2.18,22.47,31.01,98,52,0.96
21,Amānpur,IN,27.72,78.75,31.84,0,16,3.49
22,Butaritari,KI,3.07,172.79,28.79,89,76,5.64
23,Mar del Plata,AR,-38.0,-57.56,21.67,75,60,6.2
24,Adrar,MR,20.5,-10.07,37.03,0,9,4.54
25,Popondetta,PG,-8.75,148.25,25.42,85,82,1.61
26,Shenzhen,CN,22.55,114.07,21.0,40,94,5.1
27,Zhigalovo,RU,54.81,105.16,4.12,100,75,1.48
28,Saint-Paul-lès-Dax,FR,43.73,-1.05,21.11,51,82,4.1
29,Qaanaaq,GL,77.48,-69.36,-11.56,70,78,2.71
30,George Town,MY,5.41,100.34,30.0,20,79,2.6
31,Nome,US,64.5,-165.41,-6.0,40,92,4.6
32,Vaini,TO,-21.2,-175.2,18.0,20,100,1.5
33,Mahébourg,MU,-20.41,57.7,25.56,75,88,7.7
34,San Ramon,US,37.78,-121.98,13.33,90,81,3.1
35,Klaksvík,FO,62.23,-6.59,7.0,100,100,7.2
36,Mossamedes,AO,-15.2,12.15,26.79,7,60,4.3
